LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
ONEONTA DO,DOLLAR GENERAL - MASONVILLE,2205 206 ROUTE,MASONVILLE,NY,13804,MASONVILLE,DELAWARE,DISCOUNT STORE,07/10/2023,"2205 206 ROUTE
MASONVILLE, NY 13804
(42.242173767, -75.375104276)"
NYC,C DELI & JUICE BAR CORP,145 COURT STREET,BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"145 COURT STREET
BROOKLYN, NY 11201
(40.689285915, -73.992416036)"
MONROE,GIDDYUP2,4400 LAKE AVENUE,ROCHESTER,NY,14612,ROCHESTER,MONROE,TOBACCO RETAIL,07/10/2023,"4400 LAKE AVENUE
ROCHESTER, NY 14612
(43.250833621, -77.61363617)"
ERIE,7-ELEVEN # 35231 A,481 ABBOTT ROAD,BUFFALO,NY,14220,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"481 ABBOTT ROAD
BUFFALO, NY 14220
(42.849660522, -78.814823999)"
ONONDAGA,DEB'S MINI MART,613 WOLF  STREET,SYRACUSE,NY,13208,SYRACUSE,ONONDAGA,CONVENIENCE STORE,07/10/2023,"613 WOLF  STREET
SYRACUSE, NY 13208
(43.075130825, -76.161504386)"
ERIE,NICE ASH CIGARS,5334 TRANSIT  ROAD,DEPEW,NY,14043,CHEEKTOWAGA,ERIE,TOBACCO RETAIL,07/10/2023,"5334 TRANSIT  ROAD
DEPEW, NY 14043
(42.900217438, -78.697726633)"
NYC,NITECAP ENTERTAINMENT CORP,690 GULF AVENUE,STATEN ISLAND,NY,10314,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"690 GULF AVENUE
STATEN ISLAND, NY 10314
(40.613506846, -74.180663272)"
ONEIDA,Y HILL EXPRESS,2344 STATE ROUTE 49,BLOSSVALE,NY,13308,VIENNA,ONEIDA,CONVENIENCE STORE,07/10/2023,"2344 STATE ROUTE 49
BLOSSVALE, NY 13308
(43.231250436, -75.731673434)"
NYC,PERFECT CONVENIENCE CORP.,17243 HILLSIDE AVENUE,QUEENS,NY,11432,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"17243 HILLSIDE AVENUE
QUEENS, NY 11432
(40.712079524, -73.789365922)"
NYC,SOHAM ENTERPRISE L.L.C.,1774 FOREST AVENUE,STATEN ISLAND,NY,10303,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"1774 FOREST AVENUE
STATEN ISLAND, NY 10303
(40.624977999, -74.147792587)"
WESTCHESTER,F & R GAS CORP.,144  KING STREET,PORT CHESTER,NY,10573,RYE,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"144  KING STREET
PORT CHESTER, NY 10573
(41.003124947, -73.663855574)"
MONROE,7-ELEVEN #35073A,5152 EAST RIVER ROAD,W. HENRIETTA,NY,14586,HENRIETTA,MONROE,CONVENIENCE STORE,07/10/2023,"5152 EAST RIVER ROAD
W. HENRIETTA, NY 14586
(43.040544536, -77.695966828)"
NYC,251 SUNSHINE DELI GROCERY CORP,251 WEST 231ST STREET,BRONX,NY,10463,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"251 WEST 231ST STREET
BRONX, NY 10463
(40.879987749, -73.906627676)"
NYC,2690 GROCERY CORP.,2690 3RD AVENUE,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2690 3RD AVENUE
BRONX, NY 10454
(40.813367209, -73.922481543)"
ALLEGANY,DOLLAR GENERAL FRIENDSHIP,7259 COUNTY ROAD 20,FRIENDSHIP,NY,14739,FRIENDSHIP,ALLEGANY,GAS STATION,07/10/2023,"7259 COUNTY ROAD 20
FRIENDSHIP, NY 14739
(42.20221311000006, -78.14722200799997)"
NYC,MADISON DELI EXPRESS INC,1550 MADISON AVENUE,NEW YORK,NY,10029,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1550 MADISON AVENUE
NEW YORK, NY 10029
(40.792897931, -73.950211729)"
SUFFOLK,ALBANY TRIANGLE - SUNOCO,293 BROADWAY,AMITYVILLE,NY,11701,BABYLON,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"293 BROADWAY
AMITYVILLE, NY 11701
(40.68248224, -73.416771318)"
HERKIMER DO,CAROGA LAKE VIEW STORE,2043 STATE HWY 10 &29A,CAROGA LAKE,NY,12032,CAROGA,FULTON,CONVENIENCE STORE,07/10/2023,"2043 STATE HWY 10 &29A
CAROGA LAKE, NY 12032
(43.141818421, -74.487490465)"
NYC,"BOSTON ROAD GAS, INC",2475 BOSTON ROAD,BRONX,NY,10467,BRONX,NEW YORK CITY,GAS STATION,07/10/2023,"2475 BOSTON ROAD
BRONX, NY 10467
(40.862925086, -73.866259593)"
NASSAU,SEA BREEZE DELI / SEABREEZE GROCERY CORPORATION,831 W BEECH STREET,LONG BEACH,NY,11561,LONG BEACH,NASSAU,DELICATESSEN,07/10/2023,"831 W BEECH STREET
LONG BEACH, NY 11561
(40.58617367, -73.688425279)"
SUFFOLK,KINGS VANDERBILT C-STORE (SUNOCO),90 VANDERBILT MOTOR PKWY.,COMMACK,NY,11725,HUNTINGTON,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"90 VANDERBILT MOTOR PKWY.
COMMACK, NY 11725
(40.805978435, -73.269968654)"
NASSAU,BUSY BEE DELI CORP.,755 FRONT STREET,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"755 FRONT STREET
HEMPSTEAD, NY 11550
(40.709585627, -73.604377421)"
NYC,R. H. N. CORP.,2620 CROPSEY AVENUE,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2620 CROPSEY AVENUE
BROOKLYN, NY 11214
(40.589842093, -73.991364107)"
NASSAU,"NO SIGN / J & J PETRO, INC.",545 CONKLIN STREET,FARMINGDALE,NY,11735,OYSTER BAY,NASSAU,CONVENIENCE/GAS,07/10/2023,"545 CONKLIN STREET
FARMINGDALE, NY 11735
(40.733746169, -73.441574207)"
NIAGARA,"TOPS MARKETS, LLC",301 MEADOW DRIVE,NORTH TONAWANDA,NY,14120,NO. TONAWANDA,NIAGARA,GAS STATION,07/10/2023,"301 MEADOW DRIVE
NORTH TONAWANDA, NY 14120
(43.050147431, -78.875590702)"
CATTARAUGUS,DOLLAR GENERAL STORE #11658 - CATTARAUGUS,216 S. MAIN ST.,CATTARAUGUS,NY,14719,NEW ALBION,CATTARAUGUS,DISCOUNT STORE,07/10/2023,"216 S. MAIN ST.
CATTARAUGUS, NY 14719
(42.322139159, -78.868109015)"
ERIE,NICKEL CITY MINI MART,568 NIAGARA STREET,BUFFALO,NY,14201,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"568 NIAGARA STREET
BUFFALO, NY 14201
(42.899087096, -78.890405381)"
NYC,BLUE SMOKE 134 CORP.,134-22 GUY R BREWER BOULEVARD,JAMAICA,NY,11434,QUEENS,NEW YORK CITY,RETAIL ELECTRONIC CIGARETTE STORE,07/10/2023,"134-22 GUY R BREWER BOULEVARD
JAMAICA, NY 11434
(40.672719754, -73.775387944)"
NYC,EAST SIDE GROCERY LLC,1422 2ND AVENUE,NEW YORK,NY,10021,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1422 2ND AVENUE
NEW YORK, NY 10021
(40.770202168, -73.957122357)"
WESTCHESTER,LA MEXICANA GROCERY INC.,93 FOURTH STREET,NEW ROCHELLE,NY,10801,NEW ROCHELLE,WESTCHESTER,GROCERY SUPERMARKET,07/10/2023,"93 FOURTH STREET
NEW ROCHELLE, NY 10801
(40.910339836, -73.796363908)"
ALBANY,STEWART'S SHOP #133,1050 WESTERN AVENUE,ALBANY,NY,12203,ALBANY,ALBANY,CONVENIENCE STORE,07/10/2023,"1050 WESTERN AVENUE
ALBANY, NY 12203
(42.674133034, -73.816567731)"
NYC,"KMK AUTO SERVICE, INC.",60-04 METROPOLITAN AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,CONVENIENCE/GAS,07/10/2023,"60-04 METROPOLITAN AVENUE
RIDGEWOOD, NY 11385
(40.712630437, -73.905056824)"
NYC,ROYAL TWO CONVENIENCE INCORPORATED,9410 ROOSEVELT AVENUE,QUEENS,NY,11372,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"9410 ROOSEVELT AVENUE
QUEENS, NY 11372
(40.748825716, -73.872072693)"
WATERTOWN DO,STEWART'S SHOP - ADAMS,10546 US ROUTE 11 ROUTE,ADAMS,NY,13605,ADAMS,JEFFERSON,CONVENIENCE/GAS,07/10/2023,"10546 US ROUTE 11 ROUTE
ADAMS, NY 13605
(43.820615457, -76.02260638)"
NYC,174 HESTER SMOKE & VARIETY CORP,174 HESTER STREET,NEW YORK,NY,10013,MANHATTAN,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"174 HESTER STREET
NEW YORK, NY 10013
(40.71796468, -73.997609044)"
NYC,LAS AGUILAS DELI FOOD CORP,1131 HAVEMEYER AVENUE,BRONX,NY,10462,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1131 HAVEMEYER AVENUE
BRONX, NY 10462
(40.831075111, -73.847848994)"
NYC,2272 WEBSTER DELI GROCERY CORP.,2272 WEBSTER AVENUE,BRONX,NY,10457,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2272 WEBSTER AVENUE
BRONX, NY 10457
(40.855972507, -73.895549566)"
ONEONTA DO,DOLLAR GENERAL - SIDNEY,3 MANG DRIVE,SIDNEY,NY,13838,SIDNEY,DELAWARE,DISCOUNT STORE,07/10/2023,"3 MANG DRIVE
SIDNEY, NY 13838
(42.299332042, -75.408324588)"
WESTCHESTER,P & M GAS & AUTO REPAIRS INC.,160 SOUTH HIGHLAND AVENUE,OSSINING,NY,10562,OSSINING,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"160 SOUTH HIGHLAND AVENUE
OSSINING, NY 10562
(41.148378258, -73.860765255)"
SUFFOLK,MOBIL,113-07 ROUTE 112,PATCHOGUE,NY,11772,BROOKHAVEN,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"113-07 ROUTE 112
PATCHOGUE, NY 11772
(40.769716471, -73.007209835)"
NYC,94 STAR DELI & GROCERY CORP.,714 AMSTERDAM AVENUE,NEW YORK,NY,10025,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"714 AMSTERDAM AVENUE
NEW YORK, NY 10025
(40.793243684, -73.971183502)"
NYC,N & I VENTURE CORP.,6571 BROADWAY,BRONX,NY,10471,BRONX,NEW YORK CITY,GAS STATION,07/10/2023,"6571 BROADWAY
BRONX, NY 10471
(40.90774966, -73.896867872)"
RENSSELAER,HESS MART #32420,1825 COLUMBIA  TURNPIKE,CASTLETON,NY,12033,SCHODACK,RENSSELAER,CONVENIENCE/GAS,07/10/2023,"1825 COLUMBIA  TURNPIKE
CASTLETON, NY 12033
(42.550094781, -73.671965652)"
SUFFOLK,BP,356 ROUTE 25 A,MILLER PLACE,NY,11764,BROOKHAVEN,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"356 ROUTE 25 A
MILLER PLACE, NY 11764
(40.941305268, -72.988278453)"
ORANGE,KWIK MART (SUNOCO),128 WINDERMERE AVENUE,GREENWOOD LAKE,NY,10925,WARWICK,ORANGE,CONVENIENCE/GAS,07/10/2023,"128 WINDERMERE AVENUE
GREENWOOD LAKE, NY 10925
(41.22612204500007, -74.29040208199996)"
NYC,LUCKY CORONA INC.,103-01 ROOSEVELT AVENUE,CORONA,NY,11368,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"103-01 ROOSEVELT AVENUE
CORONA, NY 11368
(40.750003835, -73.862537944)"
NYC,JUBILEE CONVENIENCE INC,2265 BROADWAY,NEW YORK,NY,10024,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2265 BROADWAY
NEW YORK, NY 10024
(40.78546657700008, -73.97910004199997)"
NYC,A LINE DELI INC,2115 MOTT AVENUE,FAR ROCKAWAY,NY,11691,QUEENS,NEW YORK CITY,DELICATESSEN,07/10/2023,"2115 MOTT AVENUE
FAR ROCKAWAY, NY 11691
(40.60478183, -73.754199163)"
NASSAU,GIV'N GO,300 W MERRICK ROAD,FREEPORT,NY,11520,HEMPSTEAD,NASSAU,GAS STATION,07/10/2023,"300 W MERRICK ROAD
FREEPORT, NY 11520
(40.652394519, -73.59353719)"
NYC,6119 CSTORE INC,6119 NORTHERN  BOULEVARD,WOODSIDE,NY,11377,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"6119 NORTHERN  BOULEVARD
WOODSIDE, NY 11377
(40.754213771, -73.900683734)"
NYC,"JASANI, RAHIM",N/W/C WEST 49 & 6 AVENUE STREET,NEW YORK,NY,10020,MANHATTAN,NEW YORK CITY,STAND,07/10/2023,"N/W/C WEST 49 & 6 AVENUE STREET
NEW YORK, NY 10020
(40.759269987, -73.980869965)"
NASSAU,GUY LOMBARDO FOOD CENTER / GUY LOMBARDO FOOD CENTE,305 GUY LOMBARDO AVENUE,FREEPORT,NY,11520,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"305 GUY LOMBARDO AVENUE
FREEPORT, NY 11520
(40.646359129, -73.582834002)"
NYC,JAMAL ALI ALROBAEY,680 BAY STREET,STATEN ISLAND,NY,10304,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"680 BAY STREET
STATEN ISLAND, NY 10304
(40.625478509, -74.075111809)"
NYC,299 UTICA CONVENIENCE CORP,299 UTICA AVENUE,BROOKLYN,NY,11213,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"299 UTICA AVENUE
BROOKLYN, NY 11213
(40.66793155, -73.931063103)"
NYC,LINE 3 DELI & GROCERY CORP.,909 LIVONIA AVENUE,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"909 LIVONIA AVENUE
BROOKLYN, NY 11207
(40.666467944, -73.883359262)"
NYC,YI WANG INC,154 EAST BROADWAY,MANHATTAN,NY,10002,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"154 EAST BROADWAY
MANHATTAN, NY 10002
(40.714130127, -73.990785421)"
NYC,ACHAKZAI INC,550 8TH AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,DISCOUNT STORE,07/10/2023,"550 8TH AVENUE
NEW YORK, NY 10018
(40.754222656, -73.991767864)"
NYC,KEMO CANDY STORE CORPORATION,2359 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,10027,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2359 FREDERICK DOUGLASS BOULEVARD
NEW YORK, NY 10027
(40.811267081, -73.95060593)"
NIAGARA,FAMILY DOLLAR STORES OF NY,8297 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,NIAGARA FALLS,NIAGARA,DISCOUNT STORE,07/10/2023,"8297 NIAGARA FALLS BOULEVARD
NIAGARA FALLS, NY 14304
(43.089827445, -78.969222669)"
ERIE,DEPEW EXPRESS,5990 TRANSIT  ROAD,DEPEW,NY,14043,CHEEKTOWAGA,ERIE,CONVENIENCE STORE,07/10/2023,"5990 TRANSIT  ROAD
DEPEW, NY 14043
(42.918319666, -78.697327822)"
DUTCHESS,J & H SMOKES FOR LESS,5094 ROUTE 22,AMENIA,NY,12501,AMENIA,DUTCHESS,TOBACCO RETAIL,07/10/2023,"5094 ROUTE 22
AMENIA, NY 12501
(41.858814541, -73.551899583)"
NYC,113 Q BLVD NEWS INC,11327A QUEENS BOULEVARD,FOREST HILLS,NY,11375,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"11327A QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.717446511, -73.834780685)"
SUFFOLK,CUMBERLAND FARMS #1693,695 COMMACK RD.,COMMACK,NY,11725,HUNTINGTON,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"695 COMMACK RD.
COMMACK, NY 11725
(40.805359725, -73.294769616)"
NYC,NEW HONG YUN GROCERY STORE INC,6701 8TH AVENUE,BROOKYN,NY,11220,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"6701 8TH AVENUE
BROOKYN, NY 11220
(40.631315499, -74.01370825)"
NYC,FELIX GOURMET INC,370 MALCOLM X BOULEVARD,NEW YORK,NY,10027,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"370 MALCOLM X BOULEVARD
NEW YORK, NY 10027
(40.810000265, -73.943695061)"
MONROE,SPEEDWAY #07744,465 SPENCERPORT ROAD,ROCHESTER,NY,14606,GATES,MONROE,CONVENIENCE/GAS,07/10/2023,"465 SPENCERPORT ROAD
ROCHESTER, NY 14606
(43.169398989, -77.702174046)"
WESTCHESTER,LAKE CONVENIENCE INC.,52 LAKE STREET,WHITE PLAINS,NY,10603,WHITE PLAINS,WESTCHESTER,CONVENIENCE STORE,07/10/2023,"52 LAKE STREET
WHITE PLAINS, NY 10603
(41.037904271, -73.759631893)"
NYC,GREENWICH GIFTSHOP 2 CORP,70 GREENWICH AVENUE,MANHATTAN,NY,10011,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"70 GREENWICH AVENUE
MANHATTAN, NY 10011
(40.736267781, -74.000763825)"
ALLEGANY,QUICKLEE'S BELMONT TRAVEL CENTER,5744 COUNTY ROAD 20,BELMONT,NY,14813,AMITY,ALLEGANY,CONVENIENCE/GAS,07/10/2023,"5744 COUNTY ROAD 20
BELMONT, NY 14813
(42.253460275, -78.061113627)"
NYC,L & P STATIONERY STORE INC,31-02 BROADWAY,ASTORIA,NY,11106,QUEENS,NEW YORK CITY,STATIONERY STORE,07/10/2023,"31-02 BROADWAY
ASTORIA, NY 11106
(40.76180547, -73.92529845)"
ERIE,GOLDEN FARMS,1351 KENSINGTON  AVENUE,BUFFALO,NY,14215,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"1351 KENSINGTON  AVENUE
BUFFALO, NY 14215
(42.941080991, -78.805841311)"
TOMPKINS,QUIK SHOPPE 111,317 THIRD STREET,ITHACA,NY,14850,ITHACA,TOMPKINS,CONVENIENCE/GAS,07/10/2023,"317 THIRD STREET
ITHACA, NY 14850
(42.447425603, -76.505063258)"
NYC,ROOSEVELT CANDY GROCERY CORP.,75-08 ROOSEVELT AVENUE,JACKSON HEIGHTS,NY,11372,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"75-08 ROOSEVELT AVENUE
JACKSON HEIGHTS, NY 11372
(40.746898007, -73.890349335)"
NYC,VILMA ORTIZ,86 LEWIS AVENUE,BROOKLYN,NY,11206,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"86 LEWIS AVENUE
BROOKLYN, NY 11206
(40.694362708, -73.937459921)"
WESTCHESTER,"AMERICAN GENUINE GAS, INC.",2072 EAST MAIN STREET,CORTLANDT MANOR,NY,10567,CORTLANDT,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"2072 EAST MAIN STREET
CORTLANDT MANOR, NY 10567
(41.301242673, -73.883019543)"
SUFFOLK,7-ELEVEN #23367,145 HOSPITAL ROAD,EAST PATCHOGUE,NY,11772,BROOKHAVEN,SUFFOLK,CONVENIENCE STORE,07/10/2023,"145 HOSPITAL ROAD
EAST PATCHOGUE, NY 11772
(40.782364351, -72.977916493)"
HERKIMER DO,AMSTERDAM TOBACCO DEPOT,4577 ROUTE 30,AMSTERDAM,NY,120,AMSTERDAM,MONTGOMERY,LIQUOR/BEVERAGE STORE,07/10/2023,"4577 ROUTE 30
AMSTERDAM, NY 120
(42.990546735, -74.188914079)"
CHEMUNG,SPEEDWAY #07589,2036 COLLEGE AVENUE,ELMIRA HEIGHTS,NY,14903,ELMIRA,CHEMUNG,GAS STATION,07/10/2023,"2036 COLLEGE AVENUE
ELMIRA HEIGHTS, NY 14903
(42.120585065, -76.823043077)"
NYC,37 DELI GROCERY INC.,37 WEST 183RD STREET,BRONX,NY,10453,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"37 WEST 183RD STREET
BRONX, NY 10453
(40.858909885, -73.90531387)"
